u_id,name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,item_link,created_at,product_category
RGJRZXQE,WD 2 TB External Hard Disk Drive (HDD),6399,10000,36% off,9293,1133,4.5,"['Portable Hard Drive', 'Capacity: 2 TB', 'Connectivity: USB 3.1', '1 Port', '3 Years Limited Warranty']",https://www.flipkart.com/wd-2-tb-external-hard-disk-drive-hdd/p/itma80a1ec68b8e6?pid=ACCGYEN5SVRS6EJZ&lid=LSTACCGYEN5SVRS6EJZQ2HIK6&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_7_160&otracker=browse&fm=organic&iid=4761e39d-864a-4770-a0af-d8e4437685e2.ACCGYEN5SVRS6EJZ.SEARCH&ppt=None&ppn=None&ssid=bhzedm8dao0000001666437206182,2022-10-22 16:42:33.490182+05:30,HDD
UX674DHF,Seagate Expansion for Windows and Mac with 3 years Data Recovery Services – Portable 1 TB External Har...,3699,4999,26% off,2024,137,4.4,"['Portable Hard Drive', 'Capacity: 1 TB', 'Connectivity: USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/seagate-expansion-windows-mac-3-years-data-recovery-services-portable-1-tb-external-hard-disk-drive-hdd/p/itmcefa901213e7c?pid=ACCG3FE4FYCHZ3U2&lid=LSTACCG3FE4FYCHZ3U241JKWA&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_7_161&otracker=browse&fm=organic&iid=en_%2BplJfdrpuX3rCgR0f6ZvUiuqZQI7bBTjNZJ%2BqFUzRVJZsc4H%2BkgTcic7sNL7KUSJVZuyQA643YKJrSMOe04gpA%3D%3D&ppt=None&ppn=None&ssid=bhzedm8dao0000001666437206182,2022-10-22 16:42:33.659732+05:30,HDD
0EL7JKIK,WD My Passport 2 TB External Hard Disk Drive (HDD),5199,8385,37% off,29084,2636,4.4,"['Portable Hard Drive', 'Capacity: 2 TB', 'Connectivity: USB 2.0, USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/wd-my-passport-2-tb-external-hard-disk-drive-hdd/p/itmf9a9fa04971f3?pid=ACCFH7XCUTGGUUEY&lid=LSTACCFH7XCUTGGUUEYALEGDC&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_7_162&otracker=browse&fm=organic&iid=en_%2BplJfdrpuX3rCgR0f6ZvUiuqZQI7bBTjNZJ%2BqFUzRVJPBSP%2Bmzh4kxTE8xb2WP7mcJzTNcqEkK70WwLVF0Qe4Q%3D%3D&ppt=None&ppn=None&ssid=bhzedm8dao0000001666437206182,2022-10-22 16:42:33.819657+05:30,HDD
KRLLZU21,Verbatim 2 TB External Hard Disk Drive (HDD),7024,11999,41% off,0,0,0,"['Portable Hard Drive', 'Capacity: 2 TB', 'Connectivity: USB 3.0', '1 Year Domestic Warranty']",https://www.flipkart.com/verbatim-2-tb-external-hard-disk-drive-hdd/p/itmfgy5eqw5q7md5?pid=ACCFGY4AYGUZHUKN&lid=LSTACCFGY4AYGUZHUKN5EDJ75&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_7_163&otracker=browse&fm=organic&iid=4761e39d-864a-4770-a0af-d8e4437685e2.ACCFGY4AYGUZHUKN.SEARCH&ppt=None&ppn=None&ssid=bhzedm8dao0000001666437206182,2022-10-22 16:42:34.533713+05:30,HDD
HMV1KW2V,Adata HV620 2.5 inch 1 TB External Hard Drive,3649,6999,47% off,7914,1275,4.3,"['Portable Hard Drive', 'Capacity: 1 TB', 'Connectivity: USB 3.0, USB 2.0', '3 Years Warranty']",https://www.flipkart.com/adata-hv620-2-5-inch-1-tb-external-hard-drive/p/itmdv9u5svycv3p9?pid=ACCDV9NSUMEBF7FX&lid=LSTACCDV9NSUMEBF7FXGCKREM&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_7_164&otracker=browse&fm=organic&iid=4761e39d-864a-4770-a0af-d8e4437685e2.ACCDV9NSUMEBF7FX.SEARCH&ppt=None&ppn=None&ssid=bhzedm8dao0000001666437206182,2022-10-22 16:42:34.691200+05:30,HDD
KB8DY96J,WD Blue 500GB 500 GB Laptop Internal Hard Disk Drive (HDD) (Laptop 500 GB HDD),3520,4900,28% off,15,6,4,"['Type: HDD', 'Interface: SATA', 'Form Factor: 2.5 Inch', 'Capacity: 500 GB', 'Laptop']",https://www.flipkart.com/wd-blue-500gb-500-gb-laptop-internal-hard-disk-drive-hdd-laptop-hdd/p/itme2e55b98015f5?pid=IHDFZ5Y2DTCZVWRN&lid=LSTIHDFZ5Y2DTCZVWRNH3ACHB&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_7_165&otracker=browse&fm=organic&iid=4761e39d-864a-4770-a0af-d8e4437685e2.IHDFZ5Y2DTCZVWRN.SEARCH&ppt=None&ppn=None&ssid=bhzedm8dao0000001666437206182,2022-10-22 16:42:35.483375+05:30,HDD
3P6ZFKRG,GEONIX 1 500 GB Laptop Internal Hard Disk Drive (HDD) (GX 500GB HDD LAP),1650,2999,44% off,0,0,0,"['Type: HDD', 'Interface: SATA', 'Form Factor: 3.5 inch', 'Capacity: 500 GB', 'Laptop', '02 YEAR']",https://www.flipkart.com/geonix-1-500-gb-laptop-internal-hard-disk-drive-hdd-gx-500gb-hdd-lap/p/itmb94068ec0fc54?pid=IHDGEAC2PNTTZCJW&lid=LSTIHDGEAC2PNTTZCJWATNRMO&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_7_166&otracker=browse&fm=organic&iid=4761e39d-864a-4770-a0af-d8e4437685e2.IHDGEAC2PNTTZCJW.SEARCH&ppt=None&ppn=None&ssid=bhzedm8dao0000001666437206182,2022-10-22 16:42:35.732619+05:30,HDD
3DFQWMRE,"Seagate Barracuda - 3.5 inch SATA 6 Gb/s, 7200 RPM, 64 MB Cache 1 TB Desktop Internal Hard Disk Drive ...",3409,4124,17% off,257,41,3.8,"['Type: HDD', 'Interface: SATA', 'Form Factor: 3.5 inch', 'Capacity: 1 TB', 'Desktop', '2 Years Limited Warranty']",https://www.flipkart.com/seagate-barracuda-3-5-inch-sata-6-gb-s-7200-rpm-64-mb-cache-1-tb-desktop-internal-hard-disk-drive-hdd-st1000dm010/p/itmeqn3rdgnqjshd?pid=IHDG6EZXTZ3AY3ZA&lid=LSTIHDG6EZXTZ3AY3ZA506XYB&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_7_167&otracker=browse&fm=organic&iid=en_%2BplJfdrpuX3rCgR0f6ZvUiuqZQI7bBTjNZJ%2BqFUzRVI5ckRKfIIm0C7qb24ocs3LMbD3a9gqPJX5iuBDMx6spw%3D%3D&ppt=None&ppn=None&ssid=bhzedm8dao0000001666437206182,2022-10-22 16:42:35.894840+05:30,HDD
I7MDB42Q,WD 5 TB External Hard Disk Drive (HDD),8699,9299,6% off,9293,1133,4.5,"['Portable Hard Drive', 'Capacity: 5 TB', 'Connectivity: USB 2.0, USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/wd-5-tb-external-hard-disk-drive-hdd/p/itmba3179066ff94?pid=ACCG54QGFJPCGZQG&lid=LSTACCG54QGFJPCGZQGQVS8CC&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_7_168&otracker=browse&fm=organic&iid=en_%2BplJfdrpuX3rCgR0f6ZvUiuqZQI7bBTjNZJ%2BqFUzRVKzDL2u4H9VyiFsiArUoI3Hg4w8GVHlILXAQxicQuabbA%3D%3D&ppt=None&ppn=None&ssid=bhzedm8dao0000001666437206182,2022-10-22 16:42:36.083747+05:30,HDD
1V6X1WKN,Seagate ZN1BG90N 1 TB Desktop Internal Hard Disk Drive (HDD) (BARRACUDA),3319,5500,39% off,18,5,3.7,"['Type: HDD', 'Interface: SATA', 'Form Factor: 3.5 inch', 'Capacity: 1 TB', 'Desktop']",https://www.flipkart.com/seagate-zn1bg90n-1-tb-desktop-internal-hard-disk-drive-hdd-barracuda/p/itmeh8nmfkrvtx3w?pid=IHDFNYWFYPHEB9HH&lid=LSTIHDFNYWFYPHEB9HHC1Z77T&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_8_169&otracker=browse&fm=organic&iid=7c222d20-4d75-45dc-8e1c-8d0cc4343bd7.IHDFNYWFYPHEB9HH.SEARCH&ppt=None&ppn=None&ssid=0tegqqthfk0000001666437213074,2022-10-22 16:42:37.178426+05:30,HDD
