name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,created_at
"LG 139.7 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV with True Cinema Experience, Unlimited Entertai...",56630,89990,37% off,8,2,4.8,"['Netflix|Disney+Hotstar|Youtube', 'Operating System: WebOS', 'Ultra HD (4K) 3840 x 2160 Pixels', '20W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 1 x USB', '1Year Warranty Provided by the Manufacturer from Date of Purchase']",2022-09-24 23:32:57.897543+05:30
SAMSUNG 8 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,95990,169990,43% off,0,0,0,"['Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Comprehensive Warranty on Product.']",2022-09-24 23:32:57.898542+05:30
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,8099,29999,73% off,10778,1544,3.8,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android Based', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 1 x USB', 'A+ Grade Panel', '3 Years Standard Manufacturer Warranty from Adsun']",2022-09-24 23:32:57.898542+05:30
KLASS 60.9 cm (24 inch) HD Ready LED TV,6095,13499,54% off,0,0,0,"['HD Ready 1366 x 720 Pixels', 'Expect Display all are Under Warranty']",2022-09-24 23:32:57.898542+05:30
Panasonic 105 cm (42 inch) Full HD LED Smart TV,34870,42990,18% off,0,0,0,"['Full HD 1920 x 1080 Pixels', '1 Year From Date of Purchase']",2022-09-24 23:32:57.898542+05:30
SAMSUNG Q Series 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,159500,244900,34% off,16,6,4.4,"['Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Comprehensive and 1 Year Additional on Panel from Samsung']",2022-09-24 23:32:57.899542+05:30
Cellecor 60 cm (24 inch) HD Ready LED TV,6399,11999,46% off,0,0,0,"['HD Ready 1366 x 768 Pixels', '2 Year Standard Manufacturer Warranty From Cellecor']",2022-09-24 23:32:57.899542+05:30
SAMSUNG 163 cm (65 inch) Ultra HD (4K) LED Smart Tizen TV,295900,295900,0,0,0,0,"['Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Brand Warranty']",2022-09-24 23:32:57.899542+05:30
TCL 163.96 cm (65 inch) Ultra HD (4K) LED Smart Android TV,78092,109990,29% off,36,4,4.3,"['Operating System: Android', 'Ultra HD (4K) 3860 x 2160 Pixels', '2 Year Product Warranty']",2022-09-24 23:32:57.900542+05:30
JVC 140 cm (55 inch) Ultra HD (4K) LED Smart Android Based TV with Quantum Backlit Technology,37999,59999,36% off,798,209,4.1,"['Operating System: Android Based', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year JVC India Warranty']",2022-09-24 23:32:57.900542+05:30
